"TAGNAME","Short description","Description","Recommended units","Comment","SYNONYMS"
"EDIBLE ","edible","edible portion ","%","The ‘edible portion’ is defined as (100 – refuse), where refuse is the inedible weight as a percent taken away from the “as purchased” or “as acquired” food before analysing the 100g edible part. If another definition is used, it should be specified. ",
"REFUSE","refuse ","refuse ","%","Synonyms: or inedible material (also called waste)The refuse is defined as (100 – edible portion),  and represents the inedible weight as a percent of the “as purchased” or “as acquired” food before analysing the 100g edible part. If another definition is used, it should be specified. In addition to providing a value, it may be necessary to describe refuse in a food descriptor field.",
"RUBA","Rubner energy CF CHOAV","Rubner conversion factors using available carbohydrate kilocalories","kcal/g","Rubner conversion factors using available carbohydrate kilocalories = (4.1 x g total protein) + (3.75 x g available carbohydrate expressed as monosaccharides) + (9.3 x g total           fat) + (7 x g alcohol). ",
"RUBT","Rubner energy CF CHO total","Rubner conversion factors using total carbohydrate           kilocalories","kcal/g","Rubner conversion factors using total carbohydrate           kilocalories = (4.1 x g total protein) + (4.1 x g total carbohydrate) + (9.3 x g total fat) + (7 x g alcohol). ",
"ARGHIS","ARG+HIS","Sum of arginine + histidine","mg","Sum of arginine and histidine (from Slovak). ",
"AANE","AA non ess.","amino acids, total non-essential","mg","Sum of 11 non-essential amino acids: alanine, asparagine, aspartic acid, cysteine, glutamic acid, glycine, hydroxyproline and hydroxylysine, proline, serine, tyrosine (from Slovak)",
"HYL","hydroxylysine","hydroxylysine","mg","5-hydroxylysine, non-essential amino acid. Hydroxylysine is found only in animal proteins and mostly in collagens (from Slovak table). ",
"ORN","Ornithine","Ornithine","mg","Amino acid with side chain - (CH2)3NH3+. (NCI). ",
"TAU","Taurine","Taurine","mg","Non-protein amino acid with sulfonic acid group (NCI). ",
"CONPRO","connective tissue protein","connective tissue protein","mg","This term is not precisely defined in the table in which it appears. The Tagname should be construed as ``connective tissue protein as the term is used by Souci-Fachmann-Kraut'' ",
"ELAN","elastin","elastin","mg","from Slovak table",
"CHRPRO","chromoproteins","chromoproteins","mg"," class of conjugated proteins, such as hemoglobin, that contains a pigmented prosthetic group, such as heme. From Slovak table",
"FBRN","fibrin","fibrin","mg","from Slovak table",
"HB","hemoglobin","hemoglobin","mg","from Slovak table",
"MB","myoglobin","myoglobin","mg","from Slovak table",
"MEA",,"ethanolamines, total","g","Emulsifier",
"SPHL","Sphingolipid","Sphingolipid","?","A class of dietary lipids containing a long-chained sphingosine group (unsaturated amino alcohol with formula C18H37NO2), fatty acids bound to the NH2 group as an amide, and either sugars or phosphoric acid and alcohols bound to the primary hydroxy group (NCI)",
"F16D2","FA 16:2","Fatty Acid 16:2","g","Hexadecadienoic Acid. A polyunsaturated fatty acids with 16 carbons and 2 double bonds. ",
"F16D3","FA 16:3","Fatty Acid 16:3","g","Hexadecatrienoic Acid. A polyunsaturated fatty acids with 16 carbons and 3 double bonds. ",
"FAN3","FA, n-3","fatty acids, total n-3 ","g","A class of fatty acids with the first double bond at the 3rd carbon from the methyl end. ",
"FAN6","FA, n-6","fatty acids, total n-6 ","g","A class of fatty acids with the first double bond at the 6th carbon from the methyl end. ",
"FATCAN","Fat, animal","Fat, animal","g",,
"FATCPL","Fat, plant","Fat, plant","g",,
"GLYN","glycerine","glycerine","g","from Slovak table",
"PHOA","Phosphatidic Acid","Phosphatidic Acid","mg","Simplest form of dietary phospholipid consisting of glycerol bound to two fatty acids and a phosphate group. (NCI)",
"PHOETHN","Phosphatidylethanolamine","Phosphatidylethanolamine","mg","Dietary phospholipid containing ethanolamine. (NCI)","cephalin (old term)"
"PHOINOTL","Phosphatidylinositol","Phosphatidylinositol","mg","Dietary phospholipid containing inositol. (NCI)",
"PHOSER","Phosphatidylserine","Phosphatidylserine","mg","Dietary phospholipid containing serine. (NCI)",
"PLG","Plasmalogen","Plasmalogen","mg","A glycerophospholipid with an enol ether double bond in the sn-1 position of its glycerol backbone. (NCI)",
"CHOAVLDF ","CHO avl. diff.","carbohydrate, available; calculated by difference","g","This value is calculated: 100 g minus total grams of water, protein, fat, alcohol, ash and dietary fibre; or CHOCDF – dietary fibre. ",
"CHOAVL-","CHO avl. unk.","carbohydrate, available;  method unknown or variable","g","This tag should be used if method is unknown or undocumented; may also be used if combinations of methods are used to calculate a mean.",
"SUGAD","sugar, added","sugar, added","g",,
"MAN","Mannose","Mannose","g","A hexose which is an epimer at C-2 of glucose.  Structurally, it is a glucose with the OH and H groups interchanged at carbon-2. (NCI)",
"FUCOS","Fucose","Fucose","g","A hexose whose structure can be derived from galactose replacing the -OH group on carbon 6 with a hydrogen. (NCI)",
"TRES","trehalose","trehalose","g",,
"STASM","stachyose; monosacch. eq","stachyose; expressed in monosaccharide equivalents","g","Tetrasacchride",
"VERSM","verbascose; monosacch. eq","verbascose; expressed in monosaccharide equivalents","g","Pentasaccharide",
"FRUOLSAC","Fructooligosacch.","Fructooligosaccharide","g","NCI",
"FRUOLSACM","Fructooligosacch.; monosacch. eq","Fructooligosaccharide; expressed in monosaccharide equivalents","g",,
"POLYSAC","polysaccharides, total","polysaccharides, total","g","Sum of starch and non-starch-polysaccharides. DP >10",
"STARES1","starch, resist. RS1","starch, resistant RS1","g","Resistant starch (RS1): physically protected or encapsulated, as in whole and partly milled grains.",
"STARES2","starch, resist. RS2","starch, resistant RS2","g","Resistant starch (RS2): raw starchy foods, such as potatoes and green banana.",
"STARES3","starch, resist.RS3","starch, resistant RS3","g","Resistant starch (RS3): retrograded starch that has been gelatinised and then cooled.",
"STARES4","starch, resist. RS4","starch, resistant RS4","g","Resistant starch (RS4): starch in which chemical modification confers amylase resistance.",
"STAHY","starch, part. hydrolysed","starch, particially hydrolysed","g",,
"STAHYM","starch, part. hydrolysed; monosacch. eq","starch, particially hydrolysed; expressed in monosaccharide equivalents","g",,
"STAMO","starch, modified","starch, modified","g",,
"STAMOM","starch, modif.; monosacch. eq","starch, modified; expressed in monosaccharide equivalents","g",,
"GLYCM","glycogen; monosacch. eq","glycogen; expressed in monosaccharide equivalents","g","-",
"MALTDEX","maltodextrin","maltodextrin","g","Partially hydrolysed starch.",
"MALTDEXM","maltodextrin","maltodextrin","g","Partially hydrolysed starch. Classification? ALSO IN MONOSACCH. EQ?",
"GALTN",,"Galactan","g","Galactan is a polymer of the sugar galactose. It is found in hemicellulose and can be converted to galactose by hydrolysis.",
"GLUMNM","glucomannan; monosacch. eq","glucomannan; expressed in monosaccharide equivalents","g","-",
"MANNM","mannan; monosacch. eq","mannan; expressed in monosaccharide equivalents","g","-",
"FRUTNM","fructan; monosacch. eq","fructan; expressed in monosaccharide equivalents","g","-",
"GALMN","galactomannan","galactomannan","g",,
"GALMNM","galactomannan; monosacch. eq","galactomannan; expressed in monosaccharide equivalents","g",,
"CHITIN","chitin","chitin","g","from Slovak table",
