"TAGNAME","Short description","Description","Recommended units","Comment","SYNONYMS"
"AAE7","AA 7 ess. excl.TRP","amino acids, total essential excluding tryptophan","mg","The sum of seven out of the eight essential amino acids for man (excluding tryptophan): isoleucine, leucine, lysine, methionine, phenylalanine, threonine, and valine ",
"AAE9","AA 9 ess. incl. HIS","amino acids, total essential (9) ","mg","Includes the basic essential amino acids (isoleucine, leucine, lysine, methionine, phenylalanine, threonine, tryptophan, and valine) plus histidine. ",
"AAT19","AA 19","sum of 19 amino acids (excluding tryptophan)","mg","Sum of 19 amino acids (excluding tryptophan): alanine, arginine, asparagine, aspartic acid, cysteine, glutamic acid, glutamine, glycine, histidine, isoleucine, leucine, lysine, methionine, phenylalanine, proline, serine, threonine, tyrosine and valine.",
"AAT20","AA 20","sum of 20 amino acids","mg","Sum of all 20 amino acids: alanine, arginine, asparagine, aspartic acid, cysteine, glutamic acid, glutamine, glycine, histidine, isoleucine, leucine, lysine, methionine, phenylalanine, proline, serine, threonine, tryptophan, tyrosine and valine.  ",
"AAT24","AA 24","amino acids, total","mg","Sum of all 24 amino acids: alanine, arginine, asparagine, aspartic acid, cysteine, glutamic acid, glutamine, glycine, histidine, hydroxylysine, hydroxyproline, isoleucine, leucine, lysine, methionine, ornithine, phenylalanine, proline, serine, taurine, threonine, tryptophan, tyrosine and valine. ",
"ACESK","acesulfam-K","acesulfam-K","mg","From EuroFIR",
"ADEN","adenine","adenine","mg","from Slovak table",
"ANTCYAN","Anthocyanidin, tot.","Anthocyanidin, total","mcg","A flavonoid with a positively charged oxygen in the pyran moiety; has 5 double bonds in the benzopyran group (NCI); in free form and not as glycosides.",
"APIGEN","apigenin","apigenin","mcg","A flavone with one hydroxyl group on the B-ring and a second hydroxyl group on the A-ring.",
"AS3+","arsenic 3+","arsenic 3+","mcg",,"Arsenic III"
"AS5+","arsenic 5+","arsenic 5+","mcg",,"Arsenic V"
"ASPM","aspartame","aspartame","mg","From EuroFIR",
"CADAVT","cadaverine","cadaverine","mcg","From EuroFIR",
"CAPSA","capsaicin","capsaicin",,"From Pennington’s article",
"CARTBCIS","b-carot. cis","beta-carotene, cis","mcg","From EuroFIR. Use for the total of beta-carotene cis isomers The main cis isomers detected in foods are the 13-cis and 9-cis forms, although other forms have also been found (mainly 15-cis and various di-cis isomers)",
"CATEC","catechins, tot.","catechins, total","mcg","From COST and Pennington’s article",
"CO2+","cobalt 2+","cobalt 2+","mcg",,
"CO2F","carbon dioxide, free","carbon dioxide, free","mg","From EuroFIR",
"CO3+","cobalt 3+","cobalt 3+","mcg",,
"COUMEST","coumestrol","coumestrol","mcg","From EuroFIR","Chrysanthin,   Coumestrol,   Cumoesterol,   Cumoestrol,   Cumostrol, "
"CR3+","chromium 3+","chromium 3+","mcg",,
"CR6+","chromium 6+","chromium 6+","mcg",,
"CU1+","copper 1+","copper 1+","mg",,"Cuprous, copper I"
"CU2+","copper 2+","copper 2+","mg",,"Cupric, copper II"
"CYAD","Cyanidin","Cyanidin","mcg","An anthocyanidin with hydroxyl groups at C-3, -5, -7, -3', and  -4'; in free form and not as glycosides.                                   ",
"CYCL","cyclamate","cyclamate","mcg","From EuroFIR",
"CYSTE","cysteine","cysteine","mg","From EuroFIR. Use only for L-cysteine",
"DELPH","Delphinidin","Delphinidin","mcg","An anthocyanidin with hydroxyl groups at C-3, -5, -7, -3', -4', and -5'; in free form and not as glycosides.                                ",
"ENERPA","energy % from alc.","energy, percent contributed by alcohol","%","The use of <UNIT/> is prohibited with this tagname; the value must be expressed as a percentage. It is aknowledged that this value is dependant on other values which can vary, i.e. conversion factors and macronutrients,  but is was decided not to be prescriptive.",
"ENERPDF","energy % from dietary fibre","energy, percent contributed by dietary fibre","%","The use of <UNIT/> is prohibited with this tagname; the value must be expressed as a percentage. It is aknowledged that this value is dependant on other values which can vary, i.e. conversion factors and macronutrients,  but is was decided not to be prescriptive.",
"ENERPSA","energy % from added sugar","energy, percent contributed by added sugar","%","The use of <UNIT/> is prohibited with this tagname; the value must be expressed as a percentage. It is aknowledged that this value is dependant on other values which can vary, i.e. conversion factors and macronutrients,  but is was decided not to be prescriptive.",
"ENERPSN","energy % from natural sugar","energy, percent contributed by natural sugar","%","The use of <UNIT/> is prohibited with this tagname; the value must be expressed as a percentage. It is aknowledged that this value is dependant on other values which can vary, i.e. conversion factors and macronutrients,  but is was decided not to be prescriptive.",
"EPICATEC","epicatechin","epicatechin","mcg","A catechin with the R configuration at C-2 and C-3.(NCI)",
"EPICATECG3","epicatechin-3-gallate","epicatechin-3-gallate","mcg","A (-)-epicatechin with a galloyloxy (trihydroxybenzoyloxy) group instead of the hydroxyl group at C-3; (-)-epicatechin esterified with gallic acid (trihydroxybenzoid acid) at C-3. (NCI)",
"EPICATEGC","epigallocatechin","epigallocatechin","mcg","A (-)-epicatechin with a hydroxyl group at C-5'. (NCI)",
"ERGSTR","ergosterol","ergosterol","mcg",,"provitamin D2"
"FACIS","FA, total","fatty acids, total","g","From EuroFIR. Sum of the individual fatty acids of cis-isomers",
"FACIS","FA, total, cis","fatty acids, total, cis","g","From EuroFIR. Sum of the individual fatty acids of cis-isomers",
"FACN3","FA, total, cis n-3","fatty acids, total, cis n-3","g","From EuroFIR. Use for total cis n-3 mono- and polyunsaturated fatty acids, including the FAPUN3 isomers plus F18:1CN3",
"FACN6","FA, total, cis n-6","fatty acids, total, cis n-6","g","From EuroFIR. Use for total cis n-6 mono- and polyunsaturated fatty acids, including the FAPUN6 isomers plus F18:1CN6",
"FACN9","FA, total, cis n-9","fatty acids, total, cis n-9","g","From EuroFIR. Use for total cis n-9 mono- and polyunsaturated fatty acids, including the FAPUN9 isomers plus F18:1CN9, F20:1CN9, F22:1CN9 and F24:1CN9",
"FAMSCIS","FA, monounsat.cis","fatty acids, total monounsaturated-cis","g",,
"FAN9","FA, total, n-9","fatty acids, total, n-9","g","From EuroFIR. Use for total n-9 fatty acids, including both mono- and polyunsaturated n-9 fatty acids",
"FAPUCIS","FA, polyunsat.cis","fatty acids, total polyunsaturated-cis","g",,
"FAPULC","FA, polyunsat. long chain","fatty acids, total polyunsaturated long chain","g","From EuroFIR. Use for total polyunsaturated long-chain fatty acids with a chain length C20 and above",
"FAPUN3FI","FA, polyunsat.n-3, fish","fatty acids, total polyunsaturated, n-3, from fish","g","From EuroFIR. Use for total polyunsaturated long-chain fatty acids, n-3, from fish",
"FAPUN3VE","FA, polyunsat.n-3, vegetables","fatty acids, total polyunsaturated, n-3, from vegetables","g","From EuroFIR. Use for total polyunsaturated long-chain fatty acids, n-3, from vegetables",
"FAPUN9","FA, polyunsat.cis n-9","fatty acids, total polyunsaturated, n-9, cis","g","From EuroFIR. Use for total cis n-9 polyunsaturated fatty acids, including F18:2CN9 and F20:3CN9",
"FAT-","fat, unknown","fat, method unknown or variable","g",,
"FATAN","Fat, animal","Fat, animal","g","Previous tagname FATCAN",
"FATN3","FA, total, trans, n-3","fatty acids, total trans n-3","g","From EuroFIR. Sum of the individual fatty acids of trans-isomers, n-3",
"FATN6","FA, total, trans n-6","fatty acids, total trans n-6","g","From EuroFIR. Sum of the individual fatty acids of trans-isomers, n-6",
"FATN9","FA, total, trans n-9","fatty acids, total trans n-9","g","From EuroFIR. Sum of the individual fatty acids of trans-isomers, n-9",
"FATPL","Fat, plant","Fat, plant","g","Previous tagname FATCPL",
"FAUN",,"Fatty acids, other, non specified","g","from Danish FCT. The sum of the unidentified fatty acids, to be used to calculate total fatty acids as the sum of analysed fatty acids",
"FE2+","Ferrous","Ferrous","mg",,
"FE3+","Ferric","Ferric","mg",,
"FEMFP","MFP iron","MFP IRON (Meat, Fish, Poultry) ","mg","Iron from meat, fish and poultry (does not include milk and eggs)",
"FORMO","formononetin","formononetin","mcg","An isoflavone with a hydroxy-methyl group on the B-ring.",
"GALCATEGC","gallocatechin","gallocatechin","mcg","A catechin with a hydroxyl group at C-5'. (NCI)",
"GULDKAC","di-keto-cholanic acid","di-keto-cholanic acid","mg","From EuroFIR",
"HESPD","hesperidin","hesperidin","mcg","A flavanoid comprised of the flavanone hesperetin and the disaccharide rutinose.   ",
"HESPT","Hesperetin","Hesperetin","mcg","A flavanone with hydroxyl groups at C-5, C-7, and C-5' and a methoxyl group at C-4'.",
"HG1+","mercury 1+","mercury 1+","mcg",,
"HG2+","mercury 2+","mercury 2+","mcg",,
"HGME","methyl mercury","methyl mercury","mcg","Includes both elemental and ionic forms. GEMS/Foods code 062",
"ISOMALT","isomalt","isomalt","mg",,
"KAEMF","kaempferol","kaempferol","mcg","A flavonol with a hydroxyl group at C-5, -7, and -4'.",
"LACACD","D-lactic acid","D-lactic acid","mg","From EuroFIR. Use for (2R)-2-hydroxypropanoic acid",
"LACACL","L-lactic acid","L-lactic acid","mg","From EuroFIR. Use for (2S)-2-hydroxypropanoic acid",
"LUTEOL","luteolin","luteolin","mcg","A flavone with two hydroxyl groups on the B-ring and a second hydroxyl group on the A-ring.",
"MALVIDIN","Malvidin","Malvidin","mcg","An anthocyanidin with hydroxyl groups at C-3, -5, -7, and -4', and methoxyl groups at C-3', and -5'; in free form and not as glycosides.                                  ",
"MK10","Menaquinone-10","Menaquinone-10","mcg","from EuroFIR",
"MK11","Menaquinone-11","Menaquinone-11","mcg","from EuroFIR",
"MK12","Menaquinone-12","Menaquinone-12","mcg","from EuroFIR",
"MK13","Menaquinone-13","Menaquinone-13","mcg","from EuroFIR",
"MK4","Menaquinone-4","Menaquinone-4","mcg","from EuroFIR",
"MK5","Menaquinone-5","Menaquinone-5","mcg","from EuroFIR",
"MK6","Menaquinone-6","Menaquinone-6","mcg","from EuroFIR",
"MK7","Menaquinone-7","Menaquinone-7","mcg","from EuroFIR",
"MK8","Menaquinone-8","Menaquinone-8","mcg","from EuroFIR",
"MK9","Menaquinone-9","Menaquinone-9","mcg","from EuroFIR",
"MN2+","manganese 2+","manganese 2+","mcg",,
"MN3+","manganese3+","manganese3+","mcg",,
"MO6+","molybdenum 6+","molybdenum 6+","mcg",,
"MOLAC","malonic acid","malonic acid","mg","from Slovak table. ",
"MYRIC","myricetin","myricetin","mcg","A kaempferol with a hydroxyl group at C-3' and -5'.",
"NARIN","naringin","naringin","mcg","From Pennington’s article",
"NARING","naringenin","naringenin","mcg","A flavanone with hydroxyl groups at C-5, C-7, and C-4’.",
"NARIR","narirutin","narirutin","mcg","A flavanoid  comprised of the flavanone naringenin and the disaccharide rutinose.",
"NI3+","nickel 3+","nickel 3+","mcg",,
"NSP","NSP; Englyst","polysaccharides, non-starch (Englyst method)","g","Includes non starch polysaccharides and excludes lignin and resistant starch and resistant oligosaccharides. Old tagname PSACNS",
"PB2+","lead 2+","lead 2+","mcg",,
"PB4+","lead 4+","lead 4+","mcg",,
"PEONIDIN","Peonidin","Peonidin","mcg","An anthocyanidin with hydroxyl groups at C-3, -5, -7, and -4', and a methoxyl group at C-3'; in free form and not as glycosides.                                  ",
"PETUNIDIN","Petunidin","Petunidin","mcg","An anthocyanidin with hydroxyl groups at C-3, -5, -7, -3', and -4', and a methoxyl group at C-5'; in free form and not as glycosides.                        ",
"PHETN","phenylethylamine","phenylethylamine","mcg","From EuroFIR",
"PROCYA","procyanidins, tot.","procyanidins, total","mcg","From Pennington’s article",
"PROT","protein, tot., cal. from tot.nitro.","protein, total; calculated from total nitrogen ","g","It is calculated by multiplying the total nitrogen value (NT) by the nitrogen conversion factor (XN). Old tagname PROCNT",
"PROTAN","protein, animal ","protein from animal origin","g","Previous tagname PROANI",
"PROTMFP",,"MFP Protein (Meat, Fish, Poultry) ","g","Protein from meat, fish and poultry (does not include milk and eggs) from Tanzania",
"PROTPL","protein, plant ","protein from plant origin","g","Previously tagname PROPLA",
"PUTRSC","putrescine","putrescine","mcg","From EuroFIR",
"QUERCE","quercetin","quercetin","mcg","A kaempferol with a hydroxyl group at C-3'.",
"RUTIN","rutin","rutin","mcg","A quercetin-3-rutinoside; rhamno-(1-6)-glucoside of quercetin.",
"S4+","sulfur 4+","sulfur 4+","mg",,"sulphur 4+"
"S6+","sulfur 6+","sulfur 6+","mg",,"sulphur 6+"
"SACCNA","Na-saccharin","sodium-saccharin","mg","From EuroFIR. Non-nutritive sweetener, also used as the calcium salt",
"SE4+","selenium 4+","selenium 4+","mcg",,
"SE6+","selenium 6+","selenium 6+","mcg",,
"SI2+","silicon 2+","silicon 2+","mcg",,
"SI4+","silicon 4+","silicon 4+","mcg",,
"SOLID","solids, total","solids, total","g","-",
"SORAC","sorbic acid","sorbic acid","mg","From EuroFIR. Antimicrobial preservative, also used  as sodium sorbate (E201), potassium sorbate (E202) and calcium sorbate (E203).  It has 4 geometric isomers, cis or trans at either double bond.",
"SPERDN","spermindine","spermindine","mcg","From EuroFIR",
"SPERN","spermine","spermine","mcg","From EuroFIR",
"STARCH-","starch, avl, expression unknown","starch, available, expression unknown","g","The sum of all polysaccharides yielding glucose after hydrolysis with suitable enzymes; includes amylose, amylopectin, glycogen, and dextrins. The expression is unknown if by weight or in monosaccharide equivalent",
"STEOTH","sterols, other","sterols, other","mg","From EuroFIR",
"STID7911","delta 7911-stigmastadienol","delta 7,9,11-stigmastadienol","mg","From EuroFIR",
"SUGAN","sugars, natural","sugars, natural","g","From EuroFIR ",
"SUGAR-","Sugars, tot, expression unknown","Sugars, total, expression unknown","g","Sum of free monosaccharides and disaccharides. The expression is unknown if by weight or in monosaccharide equivalent",
"TANGER","Tangeretin","Tangeretin","mcg","A flavone with five methoxyl (CH3O) groups at C-5, C-6, C-7,  C-8, and C-3'.",
"TOCTRT","tocotrienols, total","tocotrienols, total","mg","from EuroFIR",
"TYRA","tyramine","tyramine","mcg","From EuroFIR",
"V4+","vanadium 4+","vanadium 4+","mcg",,
